Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788591646,40,,Aggregated,35.333333,0.000000,13,19,23,30,50,78,220,450,760,760,760,302,0,14,29.647147321186925,3.8073030000305152,755.0855509998655,69.20198675496688
1788591647,40,POST,/auth/token,5.714286,0.000000,27,37,48,50,54,64,74,74,74,74,74,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591647,40,GET,/proxy/ok,9.571429,0.000000,21,24,33,37,78,93,110,220,220,220,220,87,0,21,58.06451187354782,8.099597000182257,755.0855509998655,62.724137931034484
1788591647,40,GET,/whoami,20.571429,0.000000,8,10,13,14,23,34,40,59,150,150,150,217,0,8,13.396830580649826,3.8073030000305152,151.0262440006045,37.91244239631337
1788591647,40,,Aggregated,35.857143,0.000000,12,17,22,25,41,74,150,430,760,760,760,344,0,12,27.053206712213427,3.8073030000305152,755.0855509998655,66.16279069767442
1788591648,40,POST,/auth/token,5.000000,0.000000,27,37,48,50,54,64,74,74,74,74,74,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591648,40,GET,/proxy/ok,8.875000,0.000000,19,24,32,34,76,87,110,220,220,220,220,93,0,20,55.12726615053066,8.099597000182257,755.0855509998655,62.72043010752688
1788591648,40,GET,/whoami,21.875000,0.000000,8,10,12,14,22,33,40,59,150,150,150,246,0,8,12.58385484552713,3.8073030000305152,151.0262440006045,37.90650406504065
1788591648,40,,Aggregated,35.750000,0.000000,11,15,20,23,38,71,110,430,760,760,760,379,0,11,25.25077146174346,3.8073030000305152,755.0855509998655,63.94195250659631
1788591649,40,POST,/auth/token,4.444444,0.000000,19,30,50,51,54,59,64,64,64,64,64,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591649,40,GET,/proxy/ok,9.222222,0.000000,19,23,30,33,74,87,110,220,220,220,220,107,0,20,50.247691364466704,8.099597000182257,755.0855509998655,62.700934579439256
1788591649,40,GET,/whoami,22.555556,0.000000,8,9,11,12,17,27,39,59,150,150,150,271,0,8,12.210382686339555,3.8073030000305152,151.0262440006045,37.91143911439114
1788591649,40,,Aggregated,36.222222,0.000000,10,14,17,20,32,59,82,97,220,220,220,418,0,11,24.002619674635653,3.8073030000305152,755.0855509998655,62.3421052631579
1788591650,40,POST,/auth/token,4.000000,0.000000,19,50,53,53,59,64,64,64,64,64,64,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591650,40,GET,/proxy/ok,9.100000,0.000000,20,24,31,34,71,87,97,110,220,220,220,116,0,20,48.586313120675435,8.099597000182257,755.0855509998655,62.71551724137931
1788591650,40,GET,/whoami,23.700000,0.000000,8,10,14,14,21,28,40,59,150,150,150,302,0,8,12.779889109261777,3.8073030000305152,151.0262440006045,37.90728476821192
1788591650,40,,Aggregated,36.800000,0.000000,11,15,19,22,34,54,82,97,220,220,220,458,0,12,23.674928325321297,3.8073030000305152,755.0855509998655,60.69650655021834
1788591651,40,POST,/auth/token,3.200000,0.000000,53,54,59,59,64,64,64,64,64,64,64,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591651,40,GET,/proxy/ok,10.500000,0.000000,20,24,30,37,74,87,110,220,220,220,220,121,0,20,47.07354057022299,7.713381999565172,755.0855509998655,62.72727272727273
1788591651,40,GET,/whoami,25.600000,0.000000,8,10,13,14,21,29,40,59,150,150,150,338,0,8,12.193722248508957,3.8073030000305152,151.0262440006045,37.905325443786985
1788591651,40,,Aggregated,39.300000,0.000000,10,15,19,21,34,59,82,97,220,220,220,499,0,11,22.374659056101713,3.8073030000305152,755.0855509998655,59.07414829659319
1788591652,40,POST,/auth/token,2.400000,0.000000,53,54,59,59,64,64,64,64,64,64,64,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591652,40,GET,/proxy/ok,10.400000,0.000000,20,24,28,32,49,87,110,220,220,220,220,132,0,20,45.784141333308185,7.713381999565172,755.0855509998655,62.72727272727273
